text,data
"When you first sit down to watch this movie, keep in mind that you are about to see something you've probably never seen before. Keep in mind that this is a movie where they obviously spent INSANE amounts of cash on explosions and not enough on acting or anything else for that matter. The crazy thing I noticed is that every character is completely over-portrayed, and it seems (most of the time anyhow) that the film had been 'sped-up' to make the characters move faster! (I wonder if the Hong Kong version was dubbed too?) I understand the cartoon had this, but it doesn't work for live-action. It just looks odd... as if the camera crew decided to act because they couldn't afford real actors.The English version is horribly dubbed, and the character's words do not match the mouths at all. I would have preffered subtitles, but since this is a kids movie, and since some kids cannot read well, I'll let it go. But there is something extremely odd about this movie. It's supposedly a kids movie, but there's a lot of material about SEX, RAPE, and STRIPPING which isn't exactly for young Western audiences. (In the Orient, they have different laws and sexuality in children's movies is much more accepted). But parents be warned! There is a scene where two characters talk about rape, multiple scenes where people say 'sex maniac' and a scene where this insanely young japanese girl does a sexy dance for one of the 'sex maniacs' and shows him her breasts! Who was this movie made for anyway?Oh, and the special effects are laughable. You can tell the spaceship-like things that bomb the village are cardboard cutouts (or animation, I wasn't sure) that look unconvincing, even to a kid. The makers of this movie left out a lot of cool things from the cartoon, simply because they couldn't budget the kind of money they'd need. I didn't like how the names of all the characters were changed... it made me wonder if this movie was made by the same people as Dragon Ball Z.I don't really recommed this movie to anyone. Kids, adults, or Dragon Ball Z fans. It's just a poor representation of the cartoon, and obviously, one will be able to tell that this movie was rushed and no care whatsoever was put into it. I won't even get into the camerawork... just wait until the end credits at the still picture that sits there for 2 minutes... most of the shots are not framed correctly AT ALL and the movie just seems made by amateurs. Grainy film quality too.Just all around horrible!!!!",2
"What's in here ?! Let me tell you. It's the presence of (Alec Baldwin). He's not a great actor but maybe a nice star with some good movies which this is not one of them. He did nothing here more than anything he did before or after. So not to mention (literally !) the matter of (Steve McQueen) being at the same role in the original because I don't want to make that comparison in the first place. I'm not a big fan or even a fan of (Kim Basinger), she got a lot of bad movies on her and even at her best she looks average ! And it gets on my nerve indeed whenever they talk about her seductive rare beauty !!?? Well, if being a blond would make anyone captivating then I'll dye my hair in yellow as soon as possible ! And what is it with all the craziness over miss Basinger's Legs ??!! It's surely insanity or bad tasting ? As I don't see them both as not sexy only, but UGLY too ! And if you hate that so shoot me down but you know what ?! I've just watched this movie so I'm dead already !. Yet, what would make you really suffer in unbearable way is that nothing of the credits goes to the one she deserves the mostAnd of course I mean (Jennifer Tilly)..Now we're talking about a true genuine seductive chick with such unforgettable body and one unique sense of allurement like a nasty brunette (Marilyn Monroe) however much more healthier !! (I can't help it, she was the only new and watchable thing in here !). (Michael Madsen) as the bad guy was much appealing as well as effective more than the good guys, (James Woods) is here to summarize the early events beside the pool (so the trailer would be by his voice later !) and he knew before all that this is a whole Hollywood's stuff so ""Do your thing, take your cash, and good luck as an actor in other movies !"", the editing gave the movie a serious personality along with violent atmosphere done by suitable shining cinematography, so the main goods of it (The action, The thrill, ..) are here and fairly well-made, though any echo for deep meanings about (the kinds of betrayal) as the main dramatic motif of the whole thing is not that strong so don't wait for it. OK, it's all in all another remake without anything special (Except Jennifer Tilly's spicy moments !) so I think I tried to be objective as much as I could therefore I shouldn't end my review saying that (Basinger) or anyone here did better than this movie.. It would be an insult because frankly.. Anything is better than this movie!",2
"Wow.. where do I begin. I rented this movie because it sounded like something I would be interested in watching. With a name like Val Kilmer starring in this film, I thought how bad could it be? This has got to be the worst film I have ever seen with such a big name attached to it. I was wondering why it slipped through the cracks and I never remember hearing anything about it when it first came out. It starts out pretty good, and is somewhat reminiscent of the intro sequence in the bourne identity, but after the initial 30 minutes or so it goes from bad to worse and then it ventures into WTF land. If you haven't seen this, do yourself a favor and don't rent/buy it unless you are a masochist or on a quest to see every Val Kilmer film out there. There are many more titles out there that are more deserving your time. This film (if you can call it that) is a bona fide waste of time. I want my 82 minutes back.",2
"Steven Seagal's films of late have not exactly been good, but this is by far the worst since The Patriot. The plot makes no sense what so ever; it is never clear in what the relationships between the characters are, who works for who or who is double crossing who. The film is completely disjointed, each scene seems to confuse the story further rather than carry it forward. Even the action sequences are uninspired and hard to follow. Most of the blame must lie at the director's feet for not even understanding the basics of film making, but Seagal does not get off lightly, as one of the producers of this film, he must also share the blame. Oh, and I haven't even mentioned how awful the acting is, even by Seagal standards. Even as straight to video fodder, this is not worth a view even for Seagal fans. Give it a wide berth!",2
"Much as I really like Catherine Zeta-Jones, I wondered once again, why remake a good movie? This version lacked the tension and passion of Mostly Martha. It was a clear rip off. Maxime Foerste was more convincing as a hurting child who healed with love. I couldn't believe Abigail Breslin. Martina Gedeck owned this role. Unfortunately Zeta-Jones should have found another one that she could own (she has other roles she does own.). Sergio Castellitto was good as a vulnerable but joyful Italian. Aaron Eckhart seemed passionless in comparison. This version was pleasant but bland.The love between Mario and Martha was perhaps predictable but satisfying. The therapist added an interesting bit of color that didn't seem important. I liked it when at the end he said he'd be back but the movie was over before he returned. I have Mostly Martha at home. Every now and then I revisit it.",2
"Roman Polanski has made many, many movies that are unexceptional. His fame bewilders me. Nothing stands out as a high point except Chinatown (I haven't seen 'Knife in the Water' or 'Tess'). Any contribution he's made to film concluded more than twenty years ago; his work is just embarrassing, safe and/or dull (The Pianist, Frantic, Oliver Twist, The Ninth Gate, Pirates).R's Baby must have signified the end of the establishment at the time it came out. It's lux-produced and fairly high concept for a 1968 'horror' movie (never show the baby). But this is just misconceived horror sap. Everything is arty to the point that the plot line becomes hopelessly clear very early (Um, thanks for that finale-destroying title), and on a clear day you can see the twist ending coming for days. It did not sustain my interest. I find that whatever this movie might have been, it is utterly derailed by the 1960's version of what femininity was. Farrow is such a chronic distracted, helpless waif/housewife. Her frailty is oversold... she's irritating in the extreme. There's no real ideas in it... nothing to consider except being the mother of the devil.The Dakota is barely exploited for it eerie potential.",2
"First this movie was not that bad.It was entertaining...at least to me for probably all the wrong reasons. I have never seen the original so can't compare the two.This movie reminded me of that weird Christopher Reeve movie Village of the Damned. THe two movies have different plots, but that creepy disgusted feeling and unwanted comedy exist in both.The wicker man is suppose to be a mystery/thriller/men please don't anger the women movie. I don't know the whole pagan thing and sacrifice was a little off.Nicholas Cage, his glorious bad self goes to a secluded Island called Summerisle when he receives a letter in calligraphy from his long lost fiancée who claims her daughter has been taken and hidden by fellow islanders. Cage is a police officer and being the weary policeman he is he goes to the semi uncharted island leaving no word of his whereabouts to anyone who is located in the real world. Stupid.Things get weirder when the large Amish-esquire women who populate the island snarl at him and lie about the whereabouts of the missing girl. His fiancée is no help who seems to be elusive and weary the whole time. Cage stays on the Island when he learns that the missing girl is his daughter and he is the lucky man tricked to come to this island as a sacrificial victim during the islands sick harvest festival.In this movie males do not fare so well. A sick twisted display of feminism? I found the movie laughable at times particularly when cage punches some women and runs around in a bear suit. I think there were too many potholes in this movie. I find the whole concept of angry women secluding themselves on an island without any care for males quite entertaining, but the way it was portrayed in this movie was just weird. While most women have had some jerk hurt and anger them this is clearly a form of sexism. I would have turned the movie off in disgust if the roles were reversed. This movie is something to watch maybe just once or twice. It is NOT a thriller it should be categorized as just strange.",2
"Aldolpho (Steve Buscemi), an aspiring film maker, lives in a battered NYC apartment and relies on his mother to help make the rent. He has a beautiful neighbor named Angelica (Jennifer Beals)who may or may not be married but who Aldolpho would love to star in his movie. When Al unexpectedly gets a financial promise of funding for his film from a strange man named Joe, he thinks he's got it made. That is, until Joe takes Al along on an adventure to steal a Porsche for part of the financial backing. Will the film be made before Aldolpho is completely without a moral backbone? And, will Angelica star in the film? This is, in this viewer's opinion, an awful movie. The script is abysmal, with a plot that wanders willy nilly. Beals practically snarls all of her lines and Buscemi, though likable, is nondescript. There is a good deal of distasteful material and unsavory characters to boot. Finally, the production values are very poor, too, making the film look second rate at all times. If you have time on your hands, it is still a good idea not to take a chance with this movie. But, if you are the proverbial glutton for punishment, go ahead and watch the darn thing. Beals does look beautiful, after all.",2
"Steven Segal has done some awful films, but this is probably one of the best since his career took a dive about ten years ago. The cast is better than usual, and while the story and the plot are a total joke, at least most of the action scenes look pretty good.The plot is probably one of the worst in film history. Someone is being executed because he stole some money? Some Mercenary types kidnap a Supreme Court Justice? Their goal is to exchange the Judge for the prisoner so they can find out where he has the money? Meanwhile the Execution chamber is full of trap doors and false floors and looks like a set from one of the Cirque Du Soleil Circus Shows.Then there is the issue of the prison. Here, the Warden is a Homie, played by Tony Plana. The prisoners all have their gang colors and signs, and the guards are there to serve the meals and keep the prison clean. Nothing like a bunch of prisoners fighting and beating up some guards while the Warden is watching. What happens? The Warden gives them a stern talking to. He might punish them next time.There are a lot of moments in this movie that are good for laughs. However, Nia Peeples looks pretty good, and Ja Rule tries to be an action hero. Lots of fun watching the prisoners all ""do the right thing"" and get armed so that they can free the Supreme Court Justice from her captors. Regardless of how bad Half Past Dead may be, when you watch it keep in mind that it is easily the best movie that Steven Segal has starred in since Under Siege in 1992.",2
"...and that's saying something. No matter how bad a movie gets, I'm normally able to sit through it so I can judge the full movie. Through this one, I made it about 20 minutes.Maybe it was the DVD, or maybe it was my laptop, but I could not hear the dialogue, even with the volume turned all the way up. Sound effects were fine, so with the volume turned up to hear the dialogue, I was blowing out my eardrums with the effects. As much as I wanted to see this thing through, I wasn't going to sacrifice my hearing for it.From what little I could tell about the plot, the movie was one big flashback by the main character's daughter. It seems the mother, a military pilot, had to flee her ship because the one person on her ship she trusted turned out to be one of the enemy and now he is pursuing her across a desert planet.The only thing I liked about the movie was the look of the main character; there was something I liked about her hairstyle.Oh well, looks like this one is going into the dumpster...",2
"I had the misfortune to sit through the full 102 minutes of what, in my opinion, is this shockingly bad film. It fails on pretty much all levels; the cast is awful, the acting - ham at best and the plot lacks any depth, leaving me feeling violently apathetic as to the outcome of any of the convoluted story lines.Plan B has none of the charm this genre has the scope to convey and I found myself physically cringing at the various points where the script makes its regular misjudged meanderings anywhere towards the region of comedy.A bona fide saccharine coated turd of a movie.",2
"This film, although not totally bad, should have been filmed where the actual events took place. Grand Island, Nebraska was devastated by no less than seven tornados on the night of June 3, 1980. Grand Island is situated in the nearly treeless, flat Platte River Valley in Hall county. The makers of this movie filmed in the tree covered hills of Ontario and moved the whole event to a non-existant town called Blainsworth. The people of Grand Island bravely survived this awful night only to be forgotten because of a poorly made movie.",2
"Bruce Willis, as usual, does an excellent job.[warning: may be considered a ""spoiler""]While my friend thought it was good, I kept glancing at my watch during the entire movie wondering when it would end. After seeing such great flicks as ""The Patriot"" and ""Chicken Run"" I was really disappointed in Disney's ""The Kid.""Willis plays a middle-aged man with a harsh and realistic attitude on putting a positive spin on people's images (he's an Image Consultant). An unknown kid shows up. Yes, it's him but younger, and even Lily Tomlin can see him. At this point I'm reminded of a cross between a poor ""Quantum Leap"" episode and a bad time traveling flick.Kid and Willis go through trying to figure out why he's in that time period. They figure it out. They meet Willis when he's older. Nevermind that it never goes into detail how old Willis teleports them between time periods and gets them together to begin with, how he got that knowledge to begin with, how he came to the realization that he needed to do this, and so on.Basically, it's a very tired, unoriginal, uninspiring plot that has some great actors in it. The good news is that ""the Kid"" actor is nowhere near as annoying as he's presented in the trailers on television.",2
