text,data
"I am salivating for the sequels. I needed something to keep me from going insane with tension, anxiety (what if it isn't as good?!), and constant lack of information. I needed something to calm me a little, something to pass the time, other than, of course, The Matrix. This was just the thing. I found it informative (like the part about Keanu's neck...) and some of it was funny. I pitied Carrie-Anne soooo much when she said there was only one bathroom and all those guys. I found only one problem with it. Given that 95% of the people there were as a matter of fact male, they just kinda let their mouths run wild, and there was language in it. It's not near as bad as The Shawshank Redemption's cussing runs, but that one scene were Keanu is describing a bad day, plug your e+2:3101ars if you are little. >It was entertaining and was just what I needed. It is what all Matrix fans who are going nuts need to keep them quiet. They mention a tiny bit about the sequels, and someone almost gives something away, but he catches himself in time (shoot!). It gives you almost no spoilers, but it is great to have if you are a Matrix Head like me. There is no spoon.",1
"The many other comments about the film say it all - just like to add that we showed it last week to around 30 at our Community Cinema, and it got an overall average score of 8.6. We'd 100% recommend it, then, for today's audiences, especially if they can see it on a real cinema screen, and can talk about it with others afterwards, as our audience did.The sheer power of the acting performances by the whole troupe was incredible and quite spellbinding. Of course, Finney and Courtenay were truly the stars. but everybody was thoroughly well cast. For our afternoon audience, the majority of whom are ""senior citizens"", the fact that the plot could be followed with such ease because of the clarity of speech and the wonderful non-techy use of camera and sound was a great influenceHow delightful, many said, to see a really great film that's British: still not dated twenty years on: not full filled with blood & guts: not confusing because of bob-about-all-over-the-place camera shots, and back and forth through time story lines: no seedy sex scenes. Such views were even uttered by some who were younger.",1
"Now I love American Pie 1 and 2 while 3 was great just for Seann William Scott's performance as Stifler but after that the quality has dropped. Band Camp kept the standard reasonably high with characters you actually cared about but Naked Mile was the same joke and plot- lines recycled (Erik Stifler's sex problem is like Jim's). It had some amusing moments like the Football game against the midgets and the 'punishment' of Coozeman but on the whole it lacked originality and the 'Mile' was just stupid and moronic. Not to mention the irritating girlfriend who doesn't want to have sex. Anyway enough about the Naked Mile. I watched Beta House with apprehension as I thought it could take the series to a new low but I was pleasantly surprised. To be honest there is no real plot but it's filled with hot girls (Ashley is incredible) and sex jokes aplenty. Yes it is formulaic and the jokes are old but Dwight Stifler (Steve Talley) raises the bar with an exuberant performance. The Greek Olympiad is entertaining especially the penultimate and final events while Christopher McDonald's cameo is hilarious. There are weak points though. Coozeman is as irritating as he was in the first, I'm still baffled to as how he ever got a part. While Coozeman is bad Erik Stifler is worse. John White made Naked Mile a pain to watch but in Beta House he takes his performance to a whole new low. First and foremost he lacks charisma, a Stifler prerequisite. You really can't care less about him. The only reason I was bothered about his relationship was so Ashley could be on screen! She shines above him as does the rest of the cast. Seriously John White is the ultimate in bad acting and has about as much charisma as a dead fish. Saying that the film does entertain and Coozeman's fear that his girl is not exactly a girl is brilliantly funny. Overall this film is worth renting, get a few of your mates in and have a laugh at the vomit-fest event and vent your anger at Erik 'loser' Stifler.",1
"A light, uplifting and engaging movie. Watching Irene Dunne is a delight! As you watch her, she ceases to be Irene Dunne and becomes in every way Paula Wharton.I have enjoyed Irene Dunne in every movie that I have seen and that would be nearly all of them. What a shame that most of her movies need restoration so badly. I do hope Irene Dunne movie are restored before it is too late they are such treasures Thank goodness this is not the case with Over 21.It is a must see if you like superb acting and witty comedy with serious overtones. I agree with a previous comment on the speech ""The World and Apple Pie"" it was one of the many highlights of the movie. I read somewhere that Irene Dunne helped in writing that speech along with Director Vidor (Irene Dunne was a very good and charitable person in private life) and it certainly seems to show through in her movies!",1
"My husband and I enjoy The DoodleBops as much as our 8 month old baby does. We have bought him DVD's and CD's just so we can watch and listen to them ourselves. They are fun, energetic, and very entertaining. They encourage children to be active, share and care. They always have a positive message along with fun entertainment. Every time our son hears the theme song he quickly turns his head toward the television and starts bouncing up and down in excitement. Dee Dee is a wonderful singer, she has a great voice. Moe is a great dancer. I would recommend The DoodleBops to anyone with children. Our favorite song is The Bird Song. You just can not help but smile and want to dance when you hear it.",1
"Okay. As you can see this is one of my favorite if not favorite films. This is a character drama which is absolutely hilarious. The main character is a business man who is stuck in a ""same thing, different day"" mentality. He sees a woman looking melancholy out a window of a dance studio from his train everyday and wonders about her and decides to find out more about her. He decides to join the dance class only to find out she is not the instructor. From there he bonds with four other dancers and learns to enjoy dancing as well as finding out about the mysterious woman.There is no gratuitous (or any) sex involved, just how a small group of people learn how friendships are formed and developed.This film was remade with Richard Gere and Jennifer Lopez and the new one while appealing is nowhere as enjoyable as the original. The movie never made it big in America because it was not eligible for the Oscars since it was broadcast on television in Japan (movies cannot be released on TV or they are disqualified for Oscar nominations). It did win numerous awards in Japan for best film, cast, director etc for their ""Oscar"" awards.",1
"The Neil Simon's Sunshine Boys starring Walter Matthau and George Burns is a funny comedy on the strange bond to the life and its shortness, but the laughter always bitter taste. Seeing Willy Clark(Matthau) and Al Lewis(Burns) two big theatrical comedy actors now reduced on the imbecility from the hard and unceasing old age you can feel only anger and blue. Willy not ever surrender and continue to look work, while Al is tired for players and he is retired to the country in the house to his daughter. The couple in his old time was truly funny and harmony, but out the scene was a continue squabble and to quarrel, and for eleven years after their broken they not talk between. Now if they would work, they must return together another time for do one of his best old sketch for a comedy story TV show. The meets is explosive and liberating for the old questions. The Neil Simon's screenplay give a certain corrosive spirit to the story and the melancholy and blue overwhelming the many gags and laughter succeeded to generate a good mix also thanks to a great couple Walter Matthu(Nomination Academy Award as Best Actor) and George Burns(Won the Academy Award as Best Support Actor). The two actors are very believable and real and the their harmony seems almost as they real work together for all that time and that realty they not bear between them. The movie is very touching also for its all consuming reality as the story is narrate and how the report Love-Heat that bind the two actors is totally real part to the strange but at the same time ordinarily comprehensible things to the life. My rate is 7.",1
"I had the pleasure to view this film when I was 10 years old,(having an existing interest in Egyptology). I know that there are subtle mistakes to the art direction and costuming, but over all this is the best film, to date with the look of the 18th dynasty.The film only approximates Mika Walteri's ""The Egyptian"", in plot. A good portion of the text never made it to film, as we have to consider the running length.The music score by B. Hermann and Alfred Newman is beautiful!!! Performances as follows. The late Edmond Purdom gave an excellent performance as an orphaned child adopted by parents past their child bearing years. He states that he keeps to himself,has the best education available and lets' face it is a rather emotionally distant person, given his upbringing and high intellect.Jean Simmons is fine as a humble tavern maid; honest loving and sincere. Bella Darvi, people complained about her accent, well she is a Babylonian. It is not that apparent in the film as to why Sinhue is so insanely obsessed with Nefer Nefer Nefer. Her correct name. In the book Sinhue is enjoying her carnal fruits and gets his revenge early in the plot by leaving Nefer Nefer Nefer's drugged body with the ""House of the Dead's "" workers.Gene Tierney as Baketaten, is brilliant! When she tells Sinhue that he is pharoah, she looks like she could devour him (in his weakness). She is intense, brilliant and coldly beautiful.Michael Wilding is heartbreakingly tragic in his mission to bring all people to know his one God. I believe that we are viewing Ankhnaten thru the lens of Egyptologist A. Weigall. A view at the time that had a pre-messiah feeling about Ankhnaten's vocation. Did his monotheism influence the Jewish people? Note Psalm 104. and other Egyption imagery in the psalms?Mr. Peter Ustinov provided the alter ego to Sinhue. He is street wise and cunning a survivor. Excellent acting as always.Mature never thought much of his acting personally, His Horemheb is fine as an ambitious ""super patriot"" who ultimately has Sinhue murder more than one person in his quest for power, (Walteri's book).I felt that the ending to The Egyptian was confusing as Sinhue's personality changes too easily. He has a living son (Toth dies in the novel), power is handed to him through is half sister Baketaten, he world savvy now and has a grip on international affairs. So he became enlightened? He could have modified the Amon Priesthood as he was capable.But NO! Sinhue gives everything up, everything including his son's future to become a ragged beggar preaching monotheistic love?This change was too immediate and the major flaw in the script!Again the look of the film,colour, most of the costumes(Nefer Nefer Nefer's gold dress was too over the top as she is more richly dressed than the royal family), music is beautiful.I will watch this film again easily.P.S. I know that you porbably know that Horemheb did not directly succceed Ankhnaten, but I could not resist stating this fact.",1
"This is an interesting, hard to find movie from the early 70's starring Jan Michael Vincent as a young man who doesn't make the cut as a marine. Dressed in 'baby blue' outfits to humiliate them as they are sent home, the failed recruits are sent packing. Vincent stops at a bar and runs into a very young Richard Gere who has just returned from a tour in the Pacific as a hard-core Marine 'Raider'. Gere's character is already jaded and contemplating desertion, and he takes advantage of Vincent's innocence, stealing his 'baby blue' uniform after getting him drunk and beating him in an alleyway. Vincent's character, whose name is Marion, takes Gere's outfit and is suddenly transformed into a Marine 'Raider'. Marion hitch-hikes his way into Wyoming and stops at a little Norman Rockwell-like little town. In the local café he meets Rose Hudkins, who immediately catches his eye. Staying with Hudkins parents, Marion attracts all sorts of attention from the towns folks. Mr Hudkins suspects Marion and wonders how a Marine 'Raider' could still be so innocent. The story also brings up the Japanese Internment Camps, as the towns folks go 'hunting' 3 escapees. Marion is shot accidentally during this hunt. But there's still a happy ending, which befuddled me a bit. I would have preferred a little more drama! Anyway, this captures JMV at the peak of his 70's performances. BUSTER AND BILLIE, BABY BLUE MARINE and WHITE LINE FEVER in the mid-70's were amazingly good JMV performances. He was both an action star and a heart-throb all at the same time!!! He made a lot of quality movies during his career, and continued to do so up into the mid 80's with the great TV show Airwolf. He does a very good job in this as 'Hedge', quietly observing the way people treat him (in his uniform) as he travels across the country. He must have performed some of the stunt work as well- there is a harrowing river scene at the end of the movie-and it looks like he's the guy getting tossed down the river to me! But really, at the height of his popularity, this movie could have done so much more with JMV's talent and his looks. Innocence can only be so interesting. Evil, as explored in ""Buster and Billie"", is much more dramatic! Anyway, Glynnis O'Connor is delightful as Rose. The whole look of the movie is like a Norman Rockwell painting. The outdoor scenes are gorgeous - must have been filmed in Canada.",1
"Though I'm not the biggest fan of wirework based martial arts films, when a film goes straight for fantasy rather than fighting I get a lot more fun out of it and this film is one of the best in terms of fantastical plotting and crazy flying shenanigans. Ching Siu Tung has crafted here an enchanting treat with fine performance and much ethereal beauty. The great, tragic Leslie Cheung plays a tax collector hero who stays the night in a haunted temple and gets involved with a stunning fox spirit and a wacky Taoist. Cheungs performance is filled with naive but dignified charm and Wu Ma is pleasingly off the wall as the Taoist monk, who shows off some swordplay and even gets a musical number. Perhaps best off all is Joey Wang as the fox spirit, truly a delight to behold with every movement and gesture entrancingly seductive. The film takes in elements of fantasy, horror, comedy and romance, all stirred together into a constantly entertaining package. Ching Siu Tung, directing and handling the choreography gives some neat wirework thrills, and fills the film with mists, shadows and eerily enthralling benighted forest colours, giving every forest scene a wonderfully bewitching atmosphere. Also notable are the elaborate hair stylings and gorgeous flowing garments of the female characters, with, if I'm not mistaken, Joey Wang sporting hair done up like fox ears at times, a marvellous touch. Though the film features relatively little action and some perhaps ill advised cheesy pop songs at times, this is a beautiful piece of entertainment, with swell characters and plotting, even the odd neat character arc, a near constant supply of visual treats and copious dreamy atmosphere. An ethereal treasure, highly recommended.",1
